ticket_id,created_at,category,priority,status,subject,request_text,answer_text,tags,raw_text,clean_text,cluster_id
TCK-0101,2026-02-25,Account,High,Closed,Passwort vergessen – Login ins Intranet nicht möglich,Ich habe mein Passwort vergessen und komme nicht mehr ins Intranet. Können Sie mir helfen?,"Bitte nutze auf der Login-Seite die Funktion „Passwort vergessen“. Du erhältst einen Link per E-Mail. Prüfe auch den Spam-Ordner. Wenn kein Link ankommt, bestätige bitte kurz deine Identität (z. B. Personalnummer) – dann setze ich das Passwort manuell zurück.",passwort;reset;login;intranet,Passwort vergessen – Login ins Intranet nicht möglich Ich habe mein Passwort vergessen und komme nicht mehr ins Intranet. Können Sie mir helfen?,passwort vergessen – login ins intranet nicht möglich ich habe mein passwort vergessen und komme nicht mehr ins intranet. können sie mir helfen?,3
TCK-0102,2026-02-25,Account,Medium,Closed,Passwort-Reset Link kommt nicht an,"Ich habe „Passwort vergessen“ genutzt, aber es kommt keine Mail mit dem Link an.","Bitte prüfe Spam/Quarantäne und ob du die richtige Firmen-E-Mail-Adresse verwendet hast. Wenn du ein privates Postfach eingetragen hast, funktioniert es nicht. Ich kann den Reset-Link erneut auslösen und das Postfach-Logging prüfen. Teile mir bitte den Zeitpunkt des Versuchs mit.",passwort;reset;mail;spam,"Passwort-Reset Link kommt nicht an Ich habe „Passwort vergessen“ genutzt, aber es kommt keine Mail mit dem Link an.","passwort-reset link kommt nicht an ich habe „passwort vergessen“ genutzt, aber es kommt keine mail mit dem link an.",3
TCK-0103,2026-02-26,Account,High,Closed,Konto gesperrt nach Fehlversuchen,Mein Konto ist nach mehreren Versuchen gesperrt. Ich brauche dringend Zugriff.,"Ich habe das Konto entsperrt. Bitte warte 5 Minuten und melde dich dann erneut an. Wenn du dir beim Passwort unsicher bist, setze es über „Passwort vergessen“ zurück. Prüfe auch gespeicherte alte Passwörter auf Handy/Outlook, sonst kann es direkt wieder zur Sperre kommen.",konto;gesperrt;login;ad,Konto gesperrt nach Fehlversuchen Mein Konto ist nach mehreren Versuchen gesperrt. Ich brauche dringend Zugriff.,konto gesperrt nach fehlversuchen mein konto ist nach mehreren versuchen gesperrt. ich brauche dringend zugriff.,10
TCK-0104,2026-02-26,Account,Medium,Closed,Account wird immer wieder gesperrt,"Ich entsperre mich, aber nach kurzer Zeit ist der Account wieder gesperrt.","Das passiert häufig durch ein Gerät mit altem gespeicherten Passwort (z. B. Smartphone-Mail, Outlook, VPN). Bitte ändere das Passwort einmal und aktualisiere es anschließend auf allen Geräten. Ich prüfe parallel die Sperr-Quelle in den Logs und gebe dir Bescheid, welches Gerät die Fehlversuche verursacht.",konto;gesperrt;fehllogin;outlook;vpn,"Account wird immer wieder gesperrt Ich entsperre mich, aber nach kurzer Zeit ist der Account wieder gesperrt.","account wird immer wieder gesperrt ich entsperre mich, aber nach kurzer zeit ist der account wieder gesperrt.",10
TCK-0105,2026-02-27,SSO,High,Closed,SSO-Fehler „Something went wrong“ beim Portal,Beim Öffnen des Mitarbeiterportals kommt nur „Something went wrong“. Ich kann mich nicht anmelden.,"Bitte teste zuerst im Inkognito/Privatfenster. Wenn es dort geht, lösche Cookies/Cache für das Portal und den Identity-Provider. Stelle sicher, dass du im richtigen Firmenkonto angemeldet bist (oben rechts). Wenn es weiter auftritt, sende mir bitte Browser, Uhrzeit und Screenshot.",sso;something-went-wrong;browser;cookies,SSO-Fehler „Something went wrong“ beim Portal Beim Öffnen des Mitarbeiterportals kommt nur „Something went wrong“. Ich kann mich nicht anmelden.,sso-fehler „something went wrong“ beim portal beim öffnen des mitarbeiterportals kommt nur „something went wrong“. ich kann mich nicht anmelden.,1
TCK-0106,2026-02-27,SSO,Medium,Closed,"SSO funktioniert in Edge, aber nicht in Chrome","In Edge klappt die Anmeldung, in Chrome kommt „Something went wrong“.","Das deutet meist auf Chrome-Cookies/Erweiterungen hin. Bitte deaktiviere testweise Erweiterungen (Adblocker/Privacy) und lösche Cookies für die Domain. Prüfe außerdem, ob Drittanbieter-Cookies blockiert sind. Danach Chrome neu starten und erneut testen.",sso;chrome;edge;erweiterungen,"SSO funktioniert in Edge, aber nicht in Chrome In Edge klappt die Anmeldung, in Chrome kommt „Something went wrong“.","sso funktioniert in edge, aber nicht in chrome in edge klappt die anmeldung, in chrome kommt „something went wrong“.",1
TCK-0107,2026-02-28,SSO,Medium,Closed,SSO Endlosschleife / Login-Loop,Ich werde beim Login immer wieder zurück zur Anmeldeseite geleitet (Loop).,"Bitte lösche Cookies/Cache für das Portal und den Identity-Provider und teste im Inkognito-Fenster. Wenn du mehrere Konten (privat/geschäftlich) im Browser hast, melde dich bei allen ab und nur mit dem Firmenkonto neu an. Falls weiterhin Loop: bitte Uhrzeit + Screenshot senden, dann prüfen wir Redirect-URL/Session.",sso;login-loop;cookies;session,SSO Endlosschleife / Login-Loop Ich werde beim Login immer wieder zurück zur Anmeldeseite geleitet (Loop).,sso endlosschleife / login-loop ich werde beim login immer wieder zurück zur anmeldeseite geleitet (loop).,10
TCK-0108,2026-03-01,Security,High,Closed,MFA Code kommt nicht an (SMS),"Beim Login wird ein SMS-Code verlangt, aber ich bekomme keine SMS.","Bitte prüfe Netzempfang/Flugmodus und ob die Nummer korrekt hinterlegt ist. Starte das Handy einmal neu und fordere den Code erneut an. Wenn es weiterhin nicht klappt, kann ich die MFA-Methode auf Authenticator-App umstellen oder einen temporären Backup-Code bereitstellen (nach Identitätsprüfung).",mfa;2fa;sms;login,"MFA Code kommt nicht an (SMS) Beim Login wird ein SMS-Code verlangt, aber ich bekomme keine SMS.","mfa code kommt nicht an (sms) beim login wird ein sms-code verlangt, aber ich bekomme keine sms.",3
TCK-0109,2026-03-01,Security,High,Closed,Authenticator App verloren – neues Handy,Ich habe ein neues Handy und komme nicht mehr in den Authenticator. Login ist blockiert.,Kein Problem: Nach Identitätsprüfung setze ich die bestehende MFA-Registrierung zurück. Danach kannst du dich einmalig mit SMS/Backup-Code anmelden und den Authenticator neu einrichten. Bitte teile mir deinen Benutzernamen und die letzten 2 Ziffern der hinterlegten Nummer mit.,mfa;authenticator;geraet-wechsel;reset,Authenticator App verloren – neues Handy Ich habe ein neues Handy und komme nicht mehr in den Authenticator. Login ist blockiert.,authenticator app verloren – neues handy ich habe ein neues handy und komme nicht mehr in den authenticator. login ist blockiert.,10
TCK-0110,2026-03-02,Security,Medium,Closed,MFA Push-Bestätigung kommt nicht,"Normalerweise bekomme ich eine Push-Anfrage, aber es passiert nichts.","Bitte prüfe, ob Benachrichtigungen für die Authenticator-App aktiviert sind und ob „Energiesparen“ die App blockiert. Öffne die App einmal manuell und synchronisiere ggf. die Uhrzeit (automatisch). Wenn es weiterhin nicht funktioniert, können wir auf Einmalcode umstellen oder MFA zurücksetzen.",mfa;push;benachrichtigung;zeit,"MFA Push-Bestätigung kommt nicht Normalerweise bekomme ich eine Push-Anfrage, aber es passiert nichts.","mfa push-bestätigung kommt nicht normalerweise bekomme ich eine push-anfrage, aber es passiert nichts.",3
